,mseed,best_predicted_class,all_predicted_classes,prob_r_mean,prob_r_std,prob_e_mean,prob_e_std,prob_l_mean,prob_l_std,prob_h_mean,prob_h_std,prob_t_mean,prob_t_std,count,MVO_subclass,GT_subclass
277,/home/thompsong/DATA/MVO/miniseed_c/MVOE_/1996/10/9610-29-1246-42S.MVO_21_1.mseed,r,['r'],0.78,0.15,0.144,0.133,0.071,0.096,0.039,0.096,0.038,0.106,34,['r'],['r']
278,/home/thompsong/DATA/MVO/miniseed_c/MVOE_/1997/04/9704-01-0148-36S.MVO_18_1.mseed,e,['e' 'r'],0.575,0.402,0.774,0.107,0.022,0.054,0.011,0.032,0.005,0.021,34,['e'],['e' 'r']
279,/home/thompsong/DATA/MVO/miniseed_c/MVOE_/1997/04/9704-04-0153-31S.MVO_18_1.mseed,h,['h'],0.022,0.063,0.041,0.094,0.076,0.108,0.707,0.115,0.175,0.157,34,['h'],['h']
280,/home/thompsong/DATA/MVO/miniseed_c/MVOE_/2001/03/2001-03-01-2100-19S.MVO___019.mseed,h,['h'],0.031,0.078,0.003,0.008,0.023,0.042,0.741,0.166,0.204,0.189,14,['h'],['h']
281,/home/thompsong/DATA/MVO/miniseed_c/MVOE_/1997/04/9704-03-2114-32S.MVO_18_1.mseed,t,['t'],0.005,0.02,0.009,0.025,0.03,0.104,0.125,0.119,0.836,0.144,32,['t'],['t']
282,/home/thompsong/DATA/MVO/miniseed_c/MVOE_/1997/04/9704-11-1724-41S.MVO_18_1.mseed,r,['r'],0.753,0.127,0.077,0.134,0.075,0.08,0.1,0.11,0.033,0.067,28,['r'],['r']
283,/home/thompsong/DATA/MVO/miniseed_c/MVOE_/1997/04/9704-01-0659-30S.MVO_18_1.mseed,l,['l'],0.064,0.107,0.049,0.104,0.784,0.127,0.116,0.138,0.012,0.025,34,['l'],['l']
284,/home/thompsong/DATA/MVO/miniseed_c/MVOE_/1998/10/9810-18-1801-49S.MVO_13_1.mseed,t,['t'],0.008,0.026,0.02,0.057,0.001,0.002,0.041,0.087,0.941,0.092,16,['t'],['t']
285,/home/thompsong/DATA/MVO/miniseed_c/MVOE_/1996/10/9610-24-0718-43S.MVO_21_1.mseed,h,['h'],0.021,0.064,0.01,0.026,0.116,0.133,0.803,0.148,0.056,0.092,34,['h'],['h']
286,/home/thompsong/DATA/MVO/miniseed_c/MVOE_/1997/04/9704-01-1932-27S.MVO_18_1.mseed,l,['l'],0.051,0.085,0.064,0.106,0.777,0.13,0.115,0.122,0.026,0.037,34,['l'],['l']
287,/home/thompsong/DATA/MVO/miniseed_c/MVOE_/1996/10/9610-25-0630-32S.MVO_21_1.mseed,h,['h'],0.025,0.068,0.008,0.027,0.036,0.049,0.893,0.085,0.042,0.063,34,['h'],['h']
288,/home/thompsong/DATA/MVO/miniseed_c/MVOE_/1997/04/9704-07-1554-53S.MVO_18_1.mseed,e,['e' 'r'],0.556,0.44,0.846,0.128,0.019,0.07,0.002,0.006,0.0,0.0,34,['e'],['e' 'r']
289,/home/thompsong/DATA/MVO/miniseed_c/MVOE_/1997/04/9704-26-2351-59S.MVO_18_1.mseed,e,['e' 'r'],0.555,0.43,0.804,0.152,0.022,0.057,0.021,0.065,0.0,0.0,32,['e'],['e' 'r']
290,/home/thompsong/DATA/MVO/miniseed_c/MVOE_/1997/04/9704-25-0144-02S.MVO_18_1.mseed,e,['e' 'r'],0.519,0.419,0.795,0.153,0.061,0.092,0.021,0.073,0.001,0.006,34,['e'],['e' 'r']
291,/home/thompsong/DATA/MVO/miniseed_c/MVOE_/1997/04/9704-29-1336-50S.MVO_18_1.mseed,l,['l'],0.059,0.111,0.032,0.07,0.753,0.122,0.157,0.121,0.014,0.027,34,['e'],['l']
292,/home/thompsong/DATA/MVO/miniseed_c/MVOE_/1998/04/9804-13-0831-33S.MVO_18_1.mseed,t,['t'],0.005,0.013,0.0,0.0,0.077,0.132,0.152,0.131,0.766,0.18,10,['t'],['t']
293,/home/thompsong/DATA/MVO/miniseed_c/MVOE_/1997/04/9704-03-0305-53S.MVO_18_1.mseed,e,['e' 'r'],0.445,0.416,0.779,0.143,0.071,0.116,0.066,0.094,0.029,0.065,34,['e'],['e' 'r']
294,/home/thompsong/DATA/MVO/miniseed_c/MVOE_/1997/04/9704-18-0446-09S.MVO_18_1.mseed,l,['l'],0.037,0.091,0.038,0.094,0.765,0.134,0.14,0.144,0.039,0.092,34,['l'],['l']
295,/home/thompsong/DATA/MVO/miniseed_c/MVOE_/1997/04/9704-07-1456-53S.MVO_18_1.mseed,r,['r'],0.875,0.15,0.187,0.136,0.014,0.034,0.016,0.065,0.002,0.01,34,['e'],['r']
296,/home/thompsong/DATA/MVO/miniseed_c/MVOE_/1998/04/9804-27-0406-58S.MVO_13_1.mseed,t,['t'],0.002,0.01,0.001,0.004,0.001,0.003,0.041,0.078,0.955,0.079,16,['t'],['t']
297,/home/thompsong/DATA/MVO/miniseed_c/MVOE_/1997/04/9704-18-0727-04S.MVO_18_1.mseed,l,['l'],0.083,0.126,0.078,0.114,0.72,0.123,0.129,0.139,0.03,0.074,34,['l'],['l']
298,/home/thompsong/DATA/MVO/miniseed_c/MVOE_/1997/04/9704-03-2130-36S.MVO_18_1.mseed,t,['t'],0.032,0.08,0.029,0.086,0.018,0.07,0.098,0.104,0.837,0.149,32,['t'],['t']
299,/home/thompsong/DATA/MVO/miniseed_c/MVOE_/1997/04/9704-29-0054-20S.MVO_18_1.mseed,e,['e' 'r'],0.498,0.428,0.801,0.15,0.057,0.072,0.045,0.096,0.0,0.0,32,['e'],['e' 'r']
300,/home/thompsong/DATA/MVO/miniseed_c/MVOE_/1998/04/9804-16-0256-42S.MVO_13_1.mseed,h,['h'],0.0,0.0,0.0,0.0,0.004,0.013,0.695,0.086,0.301,0.091,16,['t'],['h']
301,/home/thompsong/DATA/MVO/miniseed_c/MVOE_/1996/10/9610-26-0849-03S.MVO_21_1.mseed,h,['h'],0.054,0.115,0.061,0.119,0.092,0.118,0.785,0.138,0.039,0.093,34,['h'],['h']
302,/home/thompsong/DATA/MVO/miniseed_c/MVOE_/1997/04/9704-25-2344-28S.MVO_18_1.mseed,e,['e' 'r'],0.461,0.379,0.705,0.097,0.119,0.107,0.066,0.104,0.001,0.005,34,['e'],['e' 'r']
303,/home/thompsong/DATA/MVO/miniseed_c/MVOE_/1996/10/9610-24-0548-11S.MVO_21_1.mseed,h,['h'],0.063,0.12,0.008,0.025,0.07,0.089,0.8,0.149,0.063,0.112,34,['h'],['h']
304,/home/thompsong/DATA/MVO/miniseed_c/MVOE_/2001/03/2001-03-06-2159-11S.MVO___019.mseed,r,['r'],0.866,0.146,0.21,0.115,0.026,0.07,0.003,0.01,0.0,0.0,16,['r'],['r']
305,/home/thompsong/DATA/MVO/miniseed_c/MVOE_/1997/04/9704-01-1112-12S.MVO_18_1.mseed,l,['l'],0.057,0.083,0.046,0.085,0.764,0.109,0.131,0.108,0.024,0.058,34,['l'],['l']
306,/home/thompsong/DATA/MVO/miniseed_c/MVOE_/1998/10/9810-20-2339-52S.MVO_13_1.mseed,t,['t'],0.003,0.006,0.0,0.0,0.038,0.097,0.036,0.04,0.923,0.124,14,['t'],['t']
307,/home/thompsong/DATA/MVO/miniseed_c/MVOE_/2001/09/2001-09-11-2130-48S.MVO___014.mseed,l,['l'],0.037,0.081,0.059,0.102,0.763,0.155,0.117,0.14,0.054,0.09,16,['l'],['l']
308,/home/thompsong/DATA/MVO/miniseed_c/MVOE_/1996/10/9610-29-1327-25S.MVO_21_1.mseed,t,['t'],0.039,0.087,0.03,0.081,0.086,0.13,0.109,0.106,0.751,0.148,34,['t'],['t']
309,/home/thompsong/DATA/MVO/miniseed_c/MVOE_/1997/04/9704-01-0256-42S.MVO_18_1.mseed,e,['e' 'r'],0.454,0.389,0.711,0.095,0.102,0.125,0.067,0.114,0.021,0.053,34,['e'],['e' 'r']
310,/home/thompsong/DATA/MVO/miniseed_c/MVOE_/1997/04/9704-23-0745-53S.MVO_18_1.mseed,r,['r'],0.767,0.159,0.125,0.124,0.112,0.139,0.055,0.073,0.004,0.013,34,['e'],['r']
311,/home/thompsong/DATA/MVO/miniseed_c/MVOE_/1998/10/9810-20-2156-31S.MVO_13_1.mseed,h,['h'],0.101,0.141,0.053,0.087,0.069,0.128,0.751,0.137,0.053,0.117,16,['r'],['h']
312,/home/thompsong/DATA/MVO/miniseed_c/MVOE_/1997/04/9704-03-0223-43S.MVO_18_1.mseed,e,['e' 'r'],0.489,0.424,0.795,0.151,0.046,0.094,0.064,0.103,0.004,0.011,34,['e'],['e' 'r']
313,/home/thompsong/DATA/MVO/miniseed_c/MVOE_/1997/04/9704-01-0454-44S.MVO_18_1.mseed,l,['l'],0.056,0.112,0.019,0.051,0.788,0.143,0.077,0.104,0.07,0.123,32,['l'],['l']
314,/home/thompsong/DATA/MVO/miniseed_c/MVOE_/1998/10/9810-23-1539-49S.MVO_13_1.mseed,t,['t'],0.027,0.058,0.024,0.067,0.001,0.002,0.122,0.119,0.838,0.128,16,['t'],['t']
315,/home/thompsong/DATA/MVO/miniseed_c/MVOE_/1999/12/9912-11-1403-52S.MVO_19_1.mseed,h,['h'],0.09,0.124,0.052,0.086,0.125,0.125,0.716,0.11,0.043,0.11,16,['r'],['h']
316,/home/thompsong/DATA/MVO/miniseed_c/MVOE_/2002/04/2002-04-25-2221-22S.MVO___014.mseed,e,['r' 'e'],0.509,0.438,0.794,0.153,0.049,0.089,0.045,0.098,0.0,0.0,14,['e'],['r' 'e']
317,/home/thompsong/DATA/MVO/miniseed_c/MVOE_/1997/04/9704-03-0030-20S.MVO_18_1.mseed,l,['l'],0.109,0.134,0.064,0.093,0.754,0.119,0.093,0.116,0.013,0.034,34,['l'],['l']
318,/home/thompsong/DATA/MVO/miniseed_c/MVOE_/1997/04/9704-08-1310-21S.MVO_18_1.mseed,r,['r'],0.873,0.153,0.218,0.145,0.016,0.046,0.003,0.011,0.0,0.0,34,['e'],['r']
319,/home/thompsong/DATA/MVO/miniseed_c/MVOE_/2002/04/2002-04-30-2048-36S.MVO___014.mseed,r,['r'],0.859,0.144,0.132,0.13,0.032,0.083,0.042,0.089,0.0,0.0,16,['r'],['r']
320,/home/thompsong/DATA/MVO/miniseed_c/MVOE_/1997/04/9704-02-1108-18S.MVO_18_1.mseed,e,['e' 'r'],0.597,0.408,0.778,0.134,0.014,0.057,0.0,0.0,0.0,0.0,34,['r'],['e' 'r']
321,/home/thompsong/DATA/MVO/miniseed_c/MVOE_/1996/10/9610-26-0819-55S.MVO_21_1.mseed,h,['h'],0.021,0.059,0.037,0.079,0.131,0.109,0.8,0.117,0.029,0.056,34,['h'],['h']
322,/home/thompsong/DATA/MVO/miniseed_c/MVOE_/2001/08/2001-08-01-0328-04S.MVO___018.mseed,r,['r'],0.789,0.167,0.028,0.044,0.047,0.1,0.049,0.053,0.101,0.131,10,['r'],['r']
323,/home/thompsong/DATA/MVO/miniseed_c/MVOE_/1996/10/9610-24-0519-16S.MVO_21_1.mseed,h,['h'],0.064,0.118,0.068,0.12,0.122,0.136,0.771,0.148,0.01,0.024,34,['h'],['h']
324,/home/thompsong/DATA/MVO/miniseed_c/MVOE_/1998/04/9804-04-0940-55S.MVO_18_1.mseed,t,['t'],0.005,0.007,0.0,,0.015,0.021,0.04,0.042,0.94,0.014,2,['t'],['t']
325,/home/thompsong/DATA/MVO/miniseed_c/MVOE_/1997/04/9704-01-0038-59S.MVO_18_1.mseed,r,['r'],0.872,0.148,0.238,0.126,0.003,0.009,0.006,0.026,0.0,0.0,34,['e'],['r']
326,/home/thompsong/DATA/MVO/miniseed_c/MVOE_/1997/04/9704-07-0525-30S.MVO_18_1.mseed,t,['t'],0.001,0.009,0.002,0.01,0.007,0.027,0.13,0.12,0.861,0.135,34,['t'],['t']
327,/home/thompsong/DATA/MVO/miniseed_c/MVOE_/1998/10/9810-10-0842-25S.MVO_13_1.mseed,r,['r'],0.76,0.153,0.064,0.084,0.057,0.09,0.102,0.128,0.049,0.086,10,['e'],['r']
328,/home/thompsong/DATA/MVO/miniseed_c/MVOE_/2000/03/2000-03-10-0122-16S.MVO___019.mseed,t,['t'],0.0,0.0,0.0,0.0,0.023,0.056,0.14,0.141,0.837,0.171,12,['t'],['t']
329,/home/thompsong/DATA/MVO/miniseed_c/MVOE_/1998/04/9804-11-1636-15S.MVO_18_1.mseed,r,['r'],0.745,0.161,0.078,0.134,0.0,0.0,0.095,0.129,0.121,0.156,10,['r'],['r']
330,/home/thompsong/DATA/MVO/miniseed_c/MVOE_/1997/04/9704-12-0257-40S.MVO_18_1.mseed,e,['e' 'r'],0.515,0.452,0.866,0.118,0.042,0.095,0.003,0.007,0.007,0.025,32,['e'],['e' 'r']
331,/home/thompsong/DATA/MVO/miniseed_c/MVOE_/1996/10/9610-25-0355-25S.MVO_21_1.mseed,h,['h'],0.087,0.132,0.081,0.125,0.106,0.122,0.719,0.138,0.047,0.078,34,['t'],['h']
332,/home/thompsong/DATA/MVO/miniseed_c/MVOE_/1998/10/9810-14-0328-19S.MVO_13_1.mseed,l,['l'],0.037,0.068,0.042,0.074,0.827,0.138,0.068,0.107,0.048,0.095,16,['h'],['l']
333,/home/thompsong/DATA/MVO/miniseed_c/MVOE_/1997/04/9704-11-2057-18S.MVO_18_1.mseed,r,['r'],0.855,0.154,0.199,0.128,0.009,0.029,0.03,0.082,0.007,0.026,32,['e'],['r']
334,/home/thompsong/DATA/MVO/miniseed_c/MVOE_/1996/10/9610-25-0751-38S.MVO_21_1.mseed,h,['h'],0.039,0.077,0.007,0.027,0.115,0.122,0.776,0.134,0.066,0.103,34,['h'],['h']
335,/home/thompsong/DATA/MVO/miniseed_c/MVOE_/2000/03/2000-03-06-1948-35S.MVO___019.mseed,h,['h'],0.024,0.041,0.014,0.035,0.181,0.143,0.733,0.097,0.055,0.104,16,['r'],['h']
336,/home/thompsong/DATA/MVO/miniseed_c/MVOE_/2001/03/2001-03-07-0945-40S.MVO___019.mseed,r,['r'],0.764,0.162,0.119,0.111,0.104,0.142,0.072,0.144,0.001,0.003,14,['r'],['r']
337,/home/thompsong/DATA/MVO/miniseed_c/MVOE_/2000/11/2000-11-20-0025-56S.MVO___019.mseed,e,['r' 'e'],0.398,0.385,0.708,0.119,0.156,0.133,0.03,0.032,0.062,0.087,16,['e'],['r' 'e']
338,/home/thompsong/DATA/MVO/miniseed_c/MVOE_/1997/04/9704-09-1930-29S.MVO_18_1.mseed,l,['l'],0.058,0.106,0.058,0.1,0.791,0.144,0.08,0.1,0.042,0.081,34,['l'],['l']
339,/home/thompsong/DATA/MVO/miniseed_c/MVOE_/1997/04/9704-02-1726-42S.MVO_18_1.mseed,e,['e' 'r'],0.461,0.395,0.716,0.136,0.081,0.107,0.073,0.092,0.028,0.058,34,['e'],['e' 'r']
340,/home/thompsong/DATA/MVO/miniseed_c/MVOE_/1996/10/9610-25-1009-35S.MVO_21_1.mseed,r,['r'],0.814,0.157,0.121,0.134,0.097,0.136,0.027,0.061,0.0,0.002,34,['r'],['r']
341,/home/thompsong/DATA/MVO/miniseed_c/MVOE_/1997/04/9704-02-0456-07S.MVO_18_1.mseed,e,['e' 'r'],0.528,0.411,0.788,0.134,0.021,0.055,0.055,0.098,0.001,0.006,34,['e'],['e' 'r']
342,/home/thompsong/DATA/MVO/miniseed_c/MVOE_/1997/04/9704-09-1746-17S.MVO_18_1.mseed,e,['e' 'r'],0.552,0.424,0.792,0.145,0.037,0.088,0.014,0.047,0.001,0.004,34,['e'],['e' 'r']
343,/home/thompsong/DATA/MVO/miniseed_c/MVOE_/1997/04/9704-07-2053-43S.MVO_18_1.mseed,r,['r'],0.863,0.144,0.172,0.135,0.011,0.019,0.024,0.068,0.016,0.065,34,['e'],['r']
344,/home/thompsong/DATA/MVO/miniseed_c/MVOE_/1997/04/9704-24-2101-27S.MVO_18_1.mseed,e,['e' 'r'],0.447,0.418,0.788,0.145,0.081,0.12,0.069,0.114,0.008,0.019,34,['e'],['e' 'r']
345,/home/thompsong/DATA/MVO/miniseed_c/MVOE_/1997/04/9704-03-0627-42S.MVO_18_1.mseed,l,['l'],0.084,0.132,0.034,0.078,0.74,0.131,0.126,0.154,0.033,0.069,34,['l'],['l']
346,/home/thompsong/DATA/MVO/miniseed_c/MVOE_/1997/04/9704-15-1017-05S.MVO_18_1.mseed,h,['h'],0.019,0.038,0.015,0.032,0.069,0.081,0.854,0.12,0.051,0.087,30,['h'],['h']
347,/home/thompsong/DATA/MVO/miniseed_c/MVOE_/2001/08/2001-08-04-0634-46S.MVO___018.mseed,l,['l'],0.004,0.013,0.0,0.0,0.75,0.125,0.246,0.128,0.0,0.0,10,['r'],['l']
348,/home/thompsong/DATA/MVO/miniseed_c/MVOE_/1996/10/9610-26-2022-27S.MVO_21_2.mseed,h,['h'],0.026,0.057,0.006,0.018,0.159,0.135,0.78,0.138,0.031,0.056,34,['h'],['h']
349,/home/thompsong/DATA/MVO/miniseed_c/MVOE_/1997/04/9704-03-0508-48S.MVO_18_1.mseed,t,['t'],0.005,0.02,0.005,0.022,0.036,0.066,0.13,0.117,0.826,0.154,34,['h'],['t']
350,/home/thompsong/DATA/MVO/miniseed_c/MVOE_/1996/10/9610-25-1005-41S.MVO_21_1.mseed,h,['h'],0.008,0.028,0.003,0.01,0.099,0.13,0.865,0.122,0.027,0.058,34,['h'],['h']
351,/home/thompsong/DATA/MVO/miniseed_c/MVOE_/1997/04/9704-12-0905-06S.MVO_18_1.mseed,h,['h'],0.037,0.078,0.016,0.052,0.083,0.102,0.797,0.136,0.076,0.11,32,['h'],['h']
352,/home/thompsong/DATA/MVO/miniseed_c/MVOE_/1996/10/9610-30-2338-06S.MVO_21_1.mseed,t,['t'],0.089,0.129,0.053,0.098,0.105,0.129,0.093,0.121,0.687,0.079,34,['t'],['t']
353,/home/thompsong/DATA/MVO/miniseed_c/MVOE_/1998/04/9804-08-1316-00S.MVO_18_1.mseed,t,['t'],0.0,0.0,0.0,,0.01,0.014,0.105,0.021,0.885,0.035,2,['t'],['t']
354,/home/thompsong/DATA/MVO/miniseed_c/MVOE_/1998/04/9804-04-1417-38S.MVO_18_1.mseed,t,['t'],0.11,0.128,0.0,0.0,0.002,0.005,0.058,0.061,0.83,0.065,4,['t'],['t']
355,/home/thompsong/DATA/MVO/miniseed_c/MVOE_/1997/04/9704-02-1849-18S.MVO_18_1.mseed,l,['l'],0.059,0.093,0.059,0.101,0.754,0.136,0.129,0.129,0.029,0.071,30,['l'],['l']
356,/home/thompsong/DATA/MVO/miniseed_c/MVOE_/1997/04/9704-18-2346-16S.MVO_18_1.mseed,l,['l'],0.079,0.119,0.059,0.102,0.778,0.114,0.092,0.114,0.021,0.057,32,['l'],['l']
357,/home/thompsong/DATA/MVO/miniseed_c/MVOE_/1996/10/9610-26-0255-47S.MVO_21_1.mseed,r,['r'],0.811,0.162,0.168,0.129,0.057,0.102,0.03,0.078,0.018,0.064,34,['e'],['r']
358,/home/thompsong/DATA/MVO/miniseed_c/MVOE_/1997/04/9704-10-0125-27S.MVO_18_1.mseed,t,['t'],0.049,0.068,0.028,0.058,0.185,0.142,0.079,0.098,0.673,0.088,34,['e'],['t']
359,/home/thompsong/DATA/MVO/miniseed_c/MVOE_/1997/04/9704-01-0640-00S.MVO_18_1.mseed,h,['h'],0.039,0.095,0.008,0.016,0.198,0.129,0.728,0.124,0.031,0.058,34,['l'],['h']
360,/home/thompsong/DATA/MVO/miniseed_c/MVOE_/2000/11/2000-11-20-0543-20S.MVO___019.mseed,l,['l'],0.099,0.125,0.045,0.075,0.728,0.109,0.134,0.145,0.016,0.035,16,['l'],['l']
361,/home/thompsong/DATA/MVO/miniseed_c/MVOE_/2000/03/2000-03-10-0715-20S.MVO___019.mseed,t,['t'],0.018,0.029,0.003,0.008,0.064,0.119,0.149,0.143,0.769,0.167,14,['t'],['t']
362,/home/thompsong/DATA/MVO/miniseed_c/MVOE_/1997/04/9704-02-1616-28S.MVO_18_1.mseed,e,['e' 'r'],0.462,0.384,0.718,0.119,0.063,0.085,0.113,0.139,0.003,0.009,34,['e'],['e' 'r']
363,/home/thompsong/DATA/MVO/miniseed_c/MVOE_/1996/10/9610-25-0535-29S.MVO_21_1.mseed,h,['h'],0.034,0.076,0.044,0.093,0.122,0.111,0.804,0.132,0.018,0.032,34,['h'],['h']
364,/home/thompsong/DATA/MVO/miniseed_c/MVOE_/2001/11/2001-11-27-0912-58S.MVO___015.mseed,e,['r' 'e'],0.434,0.383,0.726,0.091,0.111,0.138,0.087,0.122,0.005,0.009,14,['e'],['r' 'e']
365,/home/thompsong/DATA/MVO/miniseed_c/MVOE_/1997/04/9704-01-0858-41S.MVO_18_1.mseed,l,['l'],0.037,0.074,0.058,0.103,0.769,0.141,0.105,0.122,0.06,0.109,34,['l'],['l']
366,/home/thompsong/DATA/MVO/miniseed_c/MVOE_/1996/10/9610-30-2337-40S.MVO_21_1.mseed,h,['h'],0.056,0.117,0.021,0.058,0.183,0.129,0.717,0.118,0.034,0.066,34,['t'],['h']
367,/home/thompsong/DATA/MVO/miniseed_c/MVOE_/1997/04/9704-01-0412-32S.MVO_18_1.mseed,t,['t'],0.003,0.017,0.006,0.027,0.011,0.038,0.105,0.132,0.878,0.143,34,['h'],['t']
368,/home/thompsong/DATA/MVO/miniseed_c/MVOE_/1996/10/9610-24-0708-05S.MVO_21_1.mseed,h,['h'],0.13,0.157,0.088,0.125,0.075,0.107,0.708,0.128,0.043,0.096,34,['h'],['h']
369,/home/thompsong/DATA/MVO/miniseed_c/MVOE_/1999/12/9912-15-1055-07S.MVO_19_1.mseed,e,['r' 'e'],0.456,0.438,0.812,0.157,0.053,0.098,0.021,0.032,0.064,0.14,16,['r'],['r' 'e']
