,mseed,best_predicted_class,all_predicted_classes,prob_r_mean,prob_r_std,prob_e_mean,prob_e_std,prob_l_mean,prob_l_std,prob_h_mean,prob_h_std,prob_t_mean,prob_t_std,count,MVO_subclass,GT_subclass
370,/home/thompsong/DATA/MVO/miniseed_c/MVOE_/1999/12/9912-08-0226-29S.MVO_19_1.mseed,h,['h'],0.065,0.115,0.002,0.005,0.166,0.185,0.74,0.11,0.028,0.051,8,['h'],['h']
371,/home/thompsong/DATA/MVO/miniseed_c/MVOE_/1998/04/9804-20-1054-39S.MVO_13_1.mseed,t,['t'],0.006,0.025,0.02,0.057,0.001,0.002,0.086,0.118,0.897,0.115,16,['t'],['t']
372,/home/thompsong/DATA/MVO/miniseed_c/MVOE_/2001/03/2001-03-06-2136-03S.MVO___019.mseed,r,['r'],0.842,0.13,0.056,0.067,0.038,0.083,0.052,0.076,0.041,0.111,16,['r'],['r']
373,/home/thompsong/DATA/MVO/miniseed_c/MVOE_/1996/10/9610-29-2308-56S.MVO_21_1.mseed,r,['r'],0.726,0.143,0.099,0.119,0.16,0.144,0.046,0.09,0.019,0.054,34,['r'],['r']
374,/home/thompsong/DATA/MVO/miniseed_c/MVOE_/1997/04/9704-08-0228-38S.MVO_18_1.mseed,r,['r'],0.817,0.157,0.124,0.136,0.087,0.132,0.034,0.078,0.0,0.0,34,['e'],['r']
375,/home/thompsong/DATA/MVO/miniseed_c/MVOE_/1996/10/9610-24-0242-09S.MVO_21_1.mseed,l,['l'],0.064,0.104,0.022,0.073,0.814,0.131,0.071,0.072,0.04,0.083,34,['t'],['l']
376,/home/thompsong/DATA/MVO/miniseed_c/MVOE_/1996/10/9610-31-2029-24S.MVO_21_1.mseed,t,['t'],0.096,0.132,0.03,0.061,0.109,0.129,0.046,0.08,0.734,0.135,32,['t'],['t']
377,/home/thompsong/DATA/MVO/miniseed_c/MVOE_/1996/10/9610-28-1132-56S.MVO_21_1.mseed,r,['r'],0.786,0.144,0.108,0.131,0.136,0.142,0.008,0.015,0.016,0.04,34,['r'],['r']
378,/home/thompsong/DATA/MVO/miniseed_c/MVOE_/1997/04/9704-12-0221-23S.MVO_18_1.mseed,l,['l'],0.092,0.123,0.085,0.123,0.788,0.135,0.07,0.1,0.007,0.012,32,['l'],['l']
379,/home/thompsong/DATA/MVO/miniseed_c/MVOE_/1996/10/9610-24-0441-01S.MVO_21_1.mseed,h,['h'],0.051,0.101,0.032,0.064,0.098,0.119,0.788,0.148,0.046,0.09,34,['h'],['h']
380,/home/thompsong/DATA/MVO/miniseed_c/MVOE_/1998/04/9804-02-0305-31S.MVO_18_1.mseed,h,['h'],0.01,0.014,0.01,,0.0,0.0,0.86,0.028,0.125,0.021,2,['h'],['h']
381,/home/thompsong/DATA/MVO/miniseed_c/MVOE_/1998/04/9804-04-1235-51S.MVO_18_1.mseed,r,['r'],0.945,0.078,0.11,,0.0,0.0,0.0,0.0,0.0,0.0,2,['r'],['r']
382,/home/thompsong/DATA/MVO/miniseed_c/MVOE_/1997/04/9704-02-0859-59S.MVO_18_1.mseed,e,['e' 'r'],0.554,0.39,0.721,0.105,0.05,0.097,0.03,0.081,0.005,0.016,34,['e'],['e' 'r']
383,/home/thompsong/DATA/MVO/miniseed_c/MVOE_/1997/04/9704-07-1944-30S.MVO_18_1.mseed,r,['r'],0.839,0.152,0.166,0.137,0.043,0.085,0.035,0.086,0.0,0.002,34,['e'],['r']
384,/home/thompsong/DATA/MVO/miniseed_c/MVOE_/1996/10/9610-25-0529-52S.MVO_21_1.mseed,t,['t'],0.061,0.12,0.054,0.098,0.071,0.109,0.121,0.127,0.72,0.11,34,['t'],['t']
385,/home/thompsong/DATA/MVO/miniseed_c/MVOE_/1998/04/9804-09-0222-40S.MVO_18_1.mseed,t,['t'],0.006,0.013,0.0,0.0,0.224,0.191,0.077,0.114,0.693,0.162,10,['t'],['t']
386,/home/thompsong/DATA/MVO/miniseed_c/MVOE_/1996/10/9610-25-0444-33S.MVO_21_2.mseed,h,['h'],0.001,0.004,0.002,0.005,0.105,0.126,0.869,0.132,0.023,0.051,34,['h'],['h']
387,/home/thompsong/DATA/MVO/miniseed_c/MVOE_/1997/04/9704-26-1709-53S.MVO_18_1.mseed,e,['e' 'r'],0.476,0.423,0.809,0.137,0.067,0.097,0.026,0.043,0.026,0.069,34,['e'],['e' 'r']
388,/home/thompsong/DATA/MVO/miniseed_c/MVOE_/1997/04/9704-08-1528-49S.MVO_18_1.mseed,h,['h'],0.002,0.009,0.001,0.005,0.004,0.013,0.736,0.134,0.257,0.14,34,['t'],['h']
389,/home/thompsong/DATA/MVO/miniseed_c/MVOE_/1997/04/9704-01-0158-25S.MVO_18_1.mseed,e,['e' 'r'],0.532,0.433,0.815,0.148,0.024,0.073,0.027,0.077,0.009,0.026,34,['e'],['e' 'r']
390,/home/thompsong/DATA/MVO/miniseed_c/MVOE_/1998/10/9810-23-1614-45S.MVO_13_1.mseed,r,['r'],0.745,0.127,0.034,0.077,0.145,0.119,0.034,0.042,0.059,0.107,16,['r'],['r']
391,/home/thompsong/DATA/MVO/miniseed_c/MVOE_/1997/04/9704-11-2023-15S.MVO_18_1.mseed,e,['e' 'r'],0.505,0.433,0.805,0.142,0.029,0.058,0.057,0.1,0.007,0.022,32,['e'],['e' 'r']
392,/home/thompsong/DATA/MVO/miniseed_c/MVOE_/1997/04/9704-24-2309-09S.MVO_18_1.mseed,e,['e' 'r'],0.497,0.43,0.806,0.153,0.078,0.125,0.018,0.035,0.004,0.015,34,['e'],['e' 'r']
393,/home/thompsong/DATA/MVO/miniseed_c/MVOE_/1997/04/9704-26-1941-26S.MVO_18_1.mseed,e,['e' 'r'],0.534,0.434,0.817,0.151,0.041,0.088,0.017,0.064,0.0,0.0,34,['e'],['e' 'r']
394,/home/thompsong/DATA/MVO/miniseed_c/MVOE_/1997/04/9704-07-0942-10S.MVO_18_1.mseed,e,['e' 'r'],0.544,0.452,0.865,0.142,0.023,0.086,0.001,0.003,0.0,0.0,34,['e'],['e' 'r']
395,/home/thompsong/DATA/MVO/miniseed_c/MVOE_/1997/04/9704-14-0712-30S.MVO_18_1.mseed,r,['r'],0.893,0.126,0.152,0.133,0.02,0.053,0.011,0.031,0.0,0.0,32,['e'],['r']
396,/home/thompsong/DATA/MVO/miniseed_c/MVOE_/1997/04/9704-15-0531-37S.MVO_18_1.mseed,h,['h'],0.04,0.091,0.024,0.066,0.062,0.097,0.821,0.134,0.065,0.106,34,['h'],['h']
397,/home/thompsong/DATA/MVO/miniseed_c/MVOE_/1998/04/9804-06-0336-09S.MVO_18_1.mseed,t,['t'],0.0,0.0,0.0,,0.0,0.0,0.055,0.007,0.945,0.007,2,['t'],['t']
398,/home/thompsong/DATA/MVO/miniseed_c/MVOE_/1997/04/9704-01-0222-33S.MVO_18_1.mseed,l,['l'],0.065,0.113,0.033,0.067,0.749,0.098,0.148,0.119,0.022,0.058,34,['l'],['l']
399,/home/thompsong/DATA/MVO/miniseed_c/MVOE_/1998/04/9804-16-2351-28S.MVO_13_1.mseed,t,['t'],0.013,0.052,0.035,0.099,0.0,0.0,0.052,0.065,0.918,0.089,16,['t'],['t']
400,/home/thompsong/DATA/MVO/miniseed_c/MVOE_/1998/04/9804-06-0920-53S.MVO_18_1.mseed,t,['t'],0.0,0.0,0.0,,0.01,0.0,0.07,0.028,0.92,0.028,2,['t'],['t']
401,/home/thompsong/DATA/MVO/miniseed_c/MVOE_/2000/03/2000-03-26-0706-51S.MVO___019.mseed,r,['r'],0.736,0.139,0.036,0.086,0.086,0.108,0.128,0.125,0.032,0.08,14,['r'],['r']
402,/home/thompsong/DATA/MVO/miniseed_c/MVOE_/1996/10/9610-31-0558-52S.MVO_21_2.mseed,h,['h'],0.039,0.067,0.043,0.076,0.127,0.11,0.761,0.095,0.051,0.099,34,['l'],['h']
403,/home/thompsong/DATA/MVO/miniseed_c/MVOE_/1997/04/9704-01-1432-59S.MVO_18_1.mseed,e,['e' 'r'],0.562,0.413,0.775,0.138,0.018,0.055,0.031,0.084,0.001,0.005,34,['e'],['e' 'r']
404,/home/thompsong/DATA/MVO/miniseed_c/MVOE_/1998/04/9804-16-2140-21S.MVO_13_1.mseed,t,['t'],0.012,0.042,0.026,0.074,0.016,0.045,0.057,0.104,0.901,0.136,16,['t'],['t']
405,/home/thompsong/DATA/MVO/miniseed_c/MVOE_/1997/04/9704-07-1839-00S.MVO_18_1.mseed,l,['l'],0.069,0.109,0.037,0.087,0.776,0.135,0.102,0.123,0.035,0.064,34,['l'],['l']
406,/home/thompsong/DATA/MVO/miniseed_c/MVOE_/1998/10/9810-23-2038-23S.MVO_13_1.mseed,l,['l'],0.058,0.07,0.1,0.113,0.713,0.086,0.102,0.112,0.078,0.114,16,['r'],['l']
407,/home/thompsong/DATA/MVO/miniseed_c/MVOE_/1997/04/9704-08-1403-37S.MVO_18_1.mseed,l,['l'],0.127,0.131,0.076,0.108,0.708,0.089,0.09,0.129,0.038,0.098,32,['l'],['l']
408,/home/thompsong/DATA/MVO/miniseed_c/MVOE_/1998/04/9804-05-1412-25S.MVO_18_1.mseed,t,['t'],0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.036,0.97,0.036,4,['t'],['t']
409,/home/thompsong/DATA/MVO/miniseed_c/MVOE_/1997/04/9704-03-0010-35S.MVO_18_1.mseed,e,['e' 'r'],0.47,0.39,0.725,0.107,0.069,0.099,0.068,0.109,0.03,0.062,34,['e'],['e' 'r']
410,/home/thompsong/DATA/MVO/miniseed_c/MVOE_/1997/04/9704-03-0155-44S.MVO_18_1.mseed,e,['e' 'r'],0.531,0.438,0.839,0.117,0.04,0.084,0.009,0.021,0.001,0.004,34,['e'],['e' 'r']
411,/home/thompsong/DATA/MVO/miniseed_c/MVOE_/1997/04/9704-04-1123-30S.MVO_18_1.mseed,t,['t'],0.008,0.022,0.001,0.005,0.041,0.082,0.165,0.132,0.785,0.159,34,['t'],['t']
412,/home/thompsong/DATA/MVO/miniseed_c/MVOE_/1996/10/9610-25-0648-10S.MVO_21_1.mseed,h,['h'],0.118,0.136,0.097,0.118,0.102,0.128,0.719,0.117,0.013,0.046,34,['h'],['h']
413,/home/thompsong/DATA/MVO/miniseed_c/MVOE_/1997/04/9704-29-1449-48S.MVO_18_1.mseed,l,['l'],0.059,0.106,0.059,0.114,0.804,0.151,0.096,0.118,0.011,0.026,34,['l'],['l']
414,/home/thompsong/DATA/MVO/miniseed_c/MVOE_/2000/11/2000-11-22-1445-31S.MVO___019.mseed,l,['l'],0.041,0.082,0.01,0.019,0.774,0.13,0.143,0.117,0.038,0.081,16,['l'],['l']
415,/home/thompsong/DATA/MVO/miniseed_c/MVOE_/1996/10/9610-26-1329-24S.MVO_21_1.mseed,h,['h'],0.051,0.123,0.087,0.154,0.096,0.139,0.734,0.15,0.075,0.12,34,['t'],['h']
416,/home/thompsong/DATA/MVO/miniseed_c/MVOE_/1998/10/9810-26-0451-03S.MVO_13_1.mseed,r,['r'],0.832,0.156,0.18,0.147,0.073,0.114,0.002,0.006,0.002,0.005,16,['r'],['r']
417,/home/thompsong/DATA/MVO/miniseed_c/MVOE_/2001/08/2001-08-01-2224-11S.MVO___018.mseed,r,['r'],0.757,0.165,0.042,0.083,0.099,0.134,0.094,0.132,0.029,0.054,10,['r'],['r']
418,/home/thompsong/DATA/MVO/miniseed_c/MVOE_/1997/04/9704-09-1013-07S.MVO_18_1.mseed,l,['l'],0.081,0.133,0.071,0.111,0.759,0.151,0.099,0.143,0.026,0.073,34,['l'],['l']
419,/home/thompsong/DATA/MVO/miniseed_c/MVOE_/1998/04/9804-08-0213-46S.MVO_18_1.mseed,h,['h'],0.004,0.007,0.002,0.005,0.088,0.124,0.829,0.144,0.079,0.146,8,['t'],['h']
420,/home/thompsong/DATA/MVO/miniseed_c/MVOE_/1997/04/9704-11-0123-03S.MVO_18_1.mseed,l,['l'],0.172,0.171,0.089,0.117,0.688,0.132,0.085,0.123,0.011,0.025,34,['l'],['l']
421,/home/thompsong/DATA/MVO/miniseed_c/MVOE_/1997/04/9704-11-1814-19S.MVO_18_1.mseed,r,['r'],0.861,0.148,0.139,0.147,0.057,0.112,0.008,0.019,0.004,0.01,26,['e'],['r']
422,/home/thompsong/DATA/MVO/miniseed_c/MVOE_/1997/04/9704-29-1817-09S.MVO_18_1.mseed,e,['e' 'r'],0.413,0.361,0.68,0.08,0.127,0.115,0.081,0.134,0.039,0.062,34,['l'],['e' 'r']
423,/home/thompsong/DATA/MVO/miniseed_c/MVOE_/1997/04/9704-04-1734-44S.MVO_18_1.mseed,l,['l'],0.136,0.159,0.038,0.064,0.738,0.132,0.086,0.09,0.02,0.06,34,['l'],['l']
424,/home/thompsong/DATA/MVO/miniseed_c/MVOE_/1997/04/9704-08-1502-53S.MVO_18_1.mseed,r,['r'],0.854,0.162,0.264,0.124,0.011,0.033,0.002,0.011,0.0,0.0,34,['e'],['r']
425,/home/thompsong/DATA/MVO/miniseed_c/MVOE_/1997/04/9704-01-1609-34S.MVO_18_1.mseed,l,['l'],0.069,0.094,0.021,0.05,0.836,0.125,0.045,0.085,0.039,0.081,34,['l'],['l']
426,/home/thompsong/DATA/MVO/miniseed_c/MVOE_/1997/04/9704-07-1521-26S.MVO_18_1.mseed,r,['r'],0.863,0.156,0.176,0.144,0.011,0.028,0.035,0.097,0.003,0.008,34,['e'],['r']
427,/home/thompsong/DATA/MVO/miniseed_c/MVOE_/2000/03/2000-03-07-1947-18S.MVO___019.mseed,t,['t'],0.089,0.109,0.038,0.094,0.015,0.035,0.023,0.026,0.854,0.122,12,['t'],['t']
428,/home/thompsong/DATA/MVO/miniseed_c/MVOE_/1997/04/9704-04-0432-54S.MVO_18_1.mseed,h,['h'],0.036,0.078,0.059,0.111,0.126,0.119,0.788,0.127,0.02,0.055,28,['h'],['h']
429,/home/thompsong/DATA/MVO/miniseed_c/MVOE_/2001/11/2001-11-27-0415-09S.MVO___015.mseed,r,['r'],0.819,0.133,0.044,0.059,0.109,0.14,0.015,0.028,0.034,0.087,14,['r'],['r']
430,/home/thompsong/DATA/MVO/miniseed_c/MVOE_/1997/04/9704-08-1628-14S.MVO_18_1.mseed,r,['r'],0.908,0.117,0.122,0.095,0.012,0.049,0.018,0.053,0.0,0.0,34,['e'],['r']
431,/home/thompsong/DATA/MVO/miniseed_c/MVOE_/2001/08/2001-08-07-0125-26S.MVO___018.mseed,e,['r' 'e'],0.35,0.36,0.652,0.074,0.059,0.11,0.125,0.119,0.14,0.141,10,['e'],['r' 'e']
432,/home/thompsong/DATA/MVO/miniseed_c/MVOE_/2001/03/2001-03-07-0220-45S.MVO___019.mseed,l,['l'],0.049,0.11,0.016,0.02,0.783,0.117,0.099,0.114,0.061,0.108,16,['h'],['l']
433,/home/thompsong/DATA/MVO/miniseed_c/MVOE_/1998/10/9810-15-1402-46S.MVO_13_1.mseed,t,['t'],0.007,0.025,0.014,0.039,0.0,0.0,0.058,0.09,0.928,0.088,16,['t'],['t']
434,/home/thompsong/DATA/MVO/miniseed_c/MVOE_/1996/10/9610-24-0454-54S.MVO_21_1.mseed,h,['h'],0.036,0.1,0.056,0.108,0.08,0.12,0.722,0.112,0.133,0.129,34,['h'],['h']
435,/home/thompsong/DATA/MVO/miniseed_c/MVOE_/1997/04/9704-12-1217-01S.MVO_18_1.mseed,t,['t'],0.001,0.004,0.004,0.008,0.029,0.061,0.131,0.103,0.837,0.134,28,['h'],['t']
436,/home/thompsong/DATA/MVO/miniseed_c/MVOE_/2001/03/2001-03-07-0842-04S.MVO___019.mseed,r,['r'],0.814,0.171,0.078,0.14,0.111,0.152,0.033,0.048,0.003,0.007,16,['r'],['r']
437,/home/thompsong/DATA/MVO/miniseed_c/MVOE_/2001/11/2001-11-20-0449-48S.MVO___015.mseed,l,['l'],0.146,0.151,0.038,0.053,0.689,0.081,0.109,0.116,0.038,0.057,16,['e'],['l']
438,/home/thompsong/DATA/MVO/miniseed_c/MVOE_/1998/10/9810-13-1518-32S.MVO_13_1.mseed,t,['t'],0.002,0.008,0.004,0.011,0.012,0.033,0.07,0.088,0.914,0.111,16,['t'],['t']
439,/home/thompsong/DATA/MVO/miniseed_c/MVOE_/1998/04/9804-05-0255-28S.MVO_18_1.mseed,h,['h'],0.0,0.0,0.0,,0.0,0.0,0.78,0.071,0.22,0.071,2,['t'],['h']
440,/home/thompsong/DATA/MVO/miniseed_c/MVOE_/2002/04/2002-04-26-0358-24S.MVO___014.mseed,e,['r' 'e'],0.495,0.427,0.792,0.153,0.044,0.09,0.026,0.041,0.039,0.083,16,['e'],['r' 'e']
441,/home/thompsong/DATA/MVO/miniseed_c/MVOE_/1997/04/9704-01-1446-29S.MVO_18_1.mseed,l,['l'],0.06,0.107,0.049,0.103,0.797,0.132,0.089,0.117,0.03,0.08,34,['l'],['l']
442,/home/thompsong/DATA/MVO/miniseed_c/MVOE_/1997/04/9704-07-1834-13S.MVO_18_1.mseed,e,['e' 'r'],0.56,0.452,0.869,0.123,0.001,0.005,0.002,0.007,0.002,0.008,34,['e'],['e' 'r']
443,/home/thompsong/DATA/MVO/miniseed_c/MVOE_/1998/04/9804-05-1010-58S.MVO_18_1.mseed,t,['t'],0.0,0.0,0.0,,0.01,0.0,0.045,0.021,0.945,0.021,2,['t'],['t']
444,/home/thompsong/DATA/MVO/miniseed_c/MVOE_/1996/10/9610-25-1406-09S.MVO_21_1.mseed,r,['r'],0.823,0.151,0.145,0.124,0.065,0.11,0.039,0.081,0.001,0.003,34,['r'],['r']
445,/home/thompsong/DATA/MVO/miniseed_c/MVOE_/1997/04/9704-01-0715-53S.MVO_18_1.mseed,e,['e' 'r'],0.509,0.424,0.776,0.153,0.064,0.103,0.025,0.069,0.014,0.055,34,['e'],['e' 'r']
446,/home/thompsong/DATA/MVO/miniseed_c/MVOE_/1996/10/9610-26-1654-26S.MVO_21_1.mseed,h,['h'],0.013,0.046,0.021,0.066,0.122,0.14,0.805,0.149,0.05,0.093,34,['h'],['h']
447,/home/thompsong/DATA/MVO/miniseed_c/MVOE_/1996/10/9610-24-1100-25S.MVO_21_1.mseed,h,['h'],0.036,0.08,0.005,0.013,0.083,0.107,0.827,0.137,0.052,0.083,30,['h'],['h']
448,/home/thompsong/DATA/MVO/miniseed_c/MVOE_/1997/04/9704-09-1734-49S.MVO_18_1.mseed,e,['e' 'r'],0.488,0.397,0.724,0.117,0.085,0.127,0.044,0.065,0.021,0.065,34,['e'],['e' 'r']
449,/home/thompsong/DATA/MVO/miniseed_c/MVOE_/1996/10/9610-25-1005-23S.MVO_21_2.mseed,h,['h'],0.028,0.057,0.015,0.054,0.097,0.125,0.813,0.134,0.055,0.097,34,['h'],['h']
450,/home/thompsong/DATA/MVO/miniseed_c/MVOE_/1998/04/9804-07-0622-43S.MVO_18_1.mseed,t,['t'],0.0,0.0,0.0,,0.005,0.007,0.08,0.028,0.915,0.021,2,['t'],['t']
451,/home/thompsong/DATA/MVO/miniseed_c/MVOE_/1997/04/9704-02-2137-58S.MVO_18_1.mseed,e,['e' 'r'],0.512,0.438,0.825,0.14,0.047,0.104,0.024,0.074,0.004,0.016,34,['e'],['e' 'r']
452,/home/thompsong/DATA/MVO/miniseed_c/MVOE_/1996/10/9610-30-1055-41S.MVO_21_1.mseed,r,['r'],0.832,0.154,0.144,0.134,0.058,0.11,0.039,0.078,0.0,0.0,34,['e'],['r']
453,/home/thompsong/DATA/MVO/miniseed_c/MVOE_/1996/10/9610-26-1426-43S.MVO_21_2.mseed,t,['t'],0.033,0.076,0.002,0.004,0.101,0.114,0.173,0.143,0.692,0.092,34,['h'],['t']
454,/home/thompsong/DATA/MVO/miniseed_c/MVOE_/1996/10/9610-28-0048-10S.MVO_21_1.mseed,e,['e' 'r'],0.474,0.405,0.745,0.146,0.078,0.098,0.073,0.117,0.002,0.01,34,['e'],['e' 'r']
455,/home/thompsong/DATA/MVO/miniseed_c/MVOE_/1998/10/9810-31-1752-39S.MVO_13_1.mseed,t,['t'],0.003,0.012,0.002,0.007,0.012,0.033,0.037,0.047,0.947,0.062,16,['t'],['t']
456,/home/thompsong/DATA/MVO/miniseed_c/MVOE_/1998/10/9810-29-1130-13S.MVO_13_1.mseed,t,['t'],0.014,0.055,0.03,0.085,0.002,0.007,0.057,0.049,0.911,0.102,16,['t'],['t']
457,/home/thompsong/DATA/MVO/miniseed_c/MVOE_/1997/04/9704-01-2051-00S.MVO_18_1.mseed,e,['e' 'r'],0.5,0.424,0.781,0.151,0.055,0.098,0.034,0.073,0.021,0.062,34,['e'],['e' 'r']
458,/home/thompsong/DATA/MVO/miniseed_c/MVOE_/1997/04/9704-02-1928-49S.MVO_18_1.mseed,e,['e' 'r'],0.479,0.424,0.774,0.156,0.086,0.122,0.026,0.069,0.023,0.062,34,['e'],['e' 'r']
459,/home/thompsong/DATA/MVO/miniseed_c/MVOE_/1996/10/9610-24-0243-08S.MVO_21_1.mseed,h,['h'],0.033,0.081,0.015,0.045,0.116,0.131,0.798,0.145,0.045,0.079,34,['h'],['h']
460,/home/thompsong/DATA/MVO/miniseed_c/MVOE_/2000/11/2000-11-28-1133-09S.MVO___019.mseed,e,['r' 'e'],0.537,0.436,0.826,0.133,0.012,0.019,0.037,0.081,0.001,0.002,16,['e'],['r' 'e']
461,/home/thompsong/DATA/MVO/miniseed_c/MVOE_/1996/10/9610-30-2334-10S.MVO_21_1.mseed,h,['h'],0.059,0.104,0.045,0.088,0.151,0.112,0.747,0.142,0.02,0.038,34,['t'],['h']
462,/home/thompsong/DATA/MVO/miniseed_c/MVOE_/1997/04/9704-07-1354-43S.MVO_18_1.mseed,r,['r'],0.863,0.158,0.168,0.142,0.046,0.108,0.004,0.015,0.004,0.01,34,['e'],['r']
463,/home/thompsong/DATA/MVO/miniseed_c/MVOE_/2001/03/2001-03-07-0021-05S.MVO___019.mseed,r,['r'],0.854,0.142,0.124,0.107,0.077,0.104,0.007,0.02,0.0,0.0,16,['r'],['r']
