Directory, cum_N_sfiles, cum_N_DSN_wavfiles, cum_N_DSN_traces, cum_N_ASN_wavfiles, cum_N_ASN_traces
REA/MVOE_/1996/10,     423,     340,    7140,       0,       0
REA/MVOE_/1996/11,    2513,    2430,   51030,       0,       0
REA/MVOE_/1996/12,    8079,    7996,  167916,       0,       0
REA/MVOE_/1997/01,    9808,    9725,  204153,       0,       0
REA/MVOE_/1997/02,   12503,   12420,  252663,       0,       0
REA/MVOE_/1997/03,   15349,   15266,  303891,       0,       0
REA/MVOE_/1997/04,   17664,   17581,  345561,       0,       0
REA/MVOE_/1997/05,   21573,   21490,  415923,       0,       0
REA/MVOE_/1997/06,   26799,   26716,  509991,       0,       0
REA/MVOE_/1997/07,   29355,   29272,  555999,       0,       0
REA/MVOE_/1997/08,   35468,   35385,  666033,       0,       0
REA/MVOE_/1997/09,   38811,   38718,  726027,       0,       0
REA/MVOE_/1997/10,   41326,   41233,  771297,       0,       0
REA/MVOE_/1997/11,   48555,   48462,  901419,       0,       0
REA/MVOE_/1997/12,   53071,   52978,  982707,       0,       0
REA/MVOE_/1998/01,   55213,   55120, 1021263,       0,       0
REA/MVOE_/1998/02,   58268,   58175, 1076253,       0,       0
REA/MVOE_/1998/03,   58899,   58806, 1087611,       0,       0
REA/MVOE_/1998/04,   59258,   59165, 1093438,       0,       0
REA/MVOE_/1998/05,   59708,   59615, 1099288,       0,       0
REA/MVOE_/1998/06,   59988,   59895, 1102928,       0,       0
REA/MVOE_/1998/07,   60698,   60605, 1112158,       0,       0
REA/MVOE_/1998/08,   61307,   61214, 1120075,       0,       0
REA/MVOE_/1998/09,   61545,   61452, 1123169,       0,       0
REA/MVOE_/1998/10,   62238,   62145, 1132178,       0,       0
REA/MVOE_/1998/11,   63298,   63205, 1145958,       0,       0
REA/MVOE_/1998/12,   63939,   63846, 1154480,       0,       0
REA/MVOE_/1999/01,   64490,   64397, 1162194,       0,       0
REA/MVOE_/1999/02,   65003,   64910, 1169376,       0,       0
REA/MVOE_/1999/03,   65453,   65360, 1177703,       0,       0
REA/MVOE_/1999/04,   66176,   66083, 1189994,       0,       0
REA/MVOE_/1999/05,   67046,   66953, 1209959,       0,       0
REA/MVOE_/1999/06,   67324,   67231, 1216353,       0,       0
REA/MVOE_/1999/07,   67733,   67640, 1224124,       0,       0
REA/MVOE_/1999/08,   68222,   68129, 1233415,       0,       0
REA/MVOE_/1999/09,   68770,   68677, 1243827,       0,       0
REA/MVOE_/1999/10,   69367,   69274, 1255170,       0,       0
REA/MVOE_/1999/11,   70168,   70075, 1270389,       0,       0
REA/MVOE_/1999/12,   70638,   70545, 1279319,       0,       0
REA/MVOE_/2000/01,   71546,   71453, 1296571,       0,       0
REA/MVOE_/2000/02,   73321,   73228, 1330296,       0,       0
REA/MVOE_/2000/03,   74896,   74803, 1360221,       0,       0
REA/MVOE_/2000/04,   76495,   76402, 1390602,       0,       0
REA/MVOE_/2000/05,   80373,   80280, 1464284,       0,       0
REA/MVOE_/2000/06,   82219,   82126, 1499358,       0,       0
REA/MVOE_/2000/07,   83657,   83564, 1526680,       0,       0
REA/MVOE_/2000/08,   85906,   85813, 1569411,       0,       0
REA/MVOE_/2000/09,   89438,   89345, 1636519,       0,       0
REA/MVOE_/2000/10,   92176,   92083, 1688541,       0,       0
REA/MVOE_/2000/11,   94347,   94254, 1729790,       0,       0
REA/MVOE_/2000/12,   97961,   97868, 1798456,       0,       0
REA/MVOE_/2001/01,  101983,  101890, 1874874,       0,       0
REA/MVOE_/2001/02,  105014,  104921, 1932463,       0,       0
REA/MVOE_/2001/03,  107089,  106968, 1971277,      30,     310
REA/MVOE_/2001/04,  107552,  107390, 1979295,      65,     660
REA/MVOE_/2001/05,  109417,  108968, 2007841,     727,    7280
REA/MVOE_/2001/06,  111784,  110767, 2040223,    1985,   19860
REA/MVOE_/2001/07,  114388,  112563, 2072551,    3656,   36570
REA/MVOE_/2001/08,  115975,  113251, 2083321,    4841,   48420
REA/MVOE_/2001/09,  118392,  115287, 2111825,    5918,   59190
REA/MVOE_/2001/10,  119998,  116555, 2129577,    6667,   66702
REA/MVOE_/2001/11,  122769,  117921, 2149991,    8810,   90275
REA/MVOE_/2001/12,  127010,  120097, 2182631,   12307,  128742
REA/MVOE_/2002/01,  131079,  122514, 2218155,   15495,  163810
REA/MVOE_/2002/02,  135112,  125831, 2264593,   17836,  189561
REA/MVOE_/2002/03,  139513,  129490, 2315819,   20513,  219008
REA/MVOE_/2002/04,  144045,  133469, 2371525,   23108,  247553
REA/MVOE_/2002/05,  147382,  136512, 2414136,   24404,  261809
REA/MVOE_/2002/06,  148225,  137146, 2423012,   24955,  267870
REA/MVOE_/2002/07,  149434,  137947, 2434226,   25754,  276659
REA/MVOE_/2002/08,  151475,  139330, 2453905,   27197,  292532
REA/MVOE_/2002/09,  155338,  142340, 2496045,   29828,  321473
REA/MVOE_/2002/10,  158976,  144951, 2533794,   32532,  351217
REA/MVOE_/2002/11,  162183,  147113, 2564497,   34461,  372436
REA/MVOE_/2002/12,  165538,  150229, 2608123,   35253,  380314
REA/MVOE_/2003/01,  169555,  153501, 2653931,   36760,  392370
REA/MVOE_/2003/02,  174264,  157681, 2712451,   38291,  405198
REA/MVOE_/2003/03,  180358,  163745, 2792017,   38524,  407295
REA/MVOE_/2003/04,  184214,  167601, 2843053,   38524,  407295
REA/MVOE_/2003/05,  187909,  171275, 2894489,   38600,  407979
REA/MVOE_/2003/06,  189002,  172244, 2909057,   39132,  412767
REA/MVOE_/2003/07,  189788,  172896, 2920141,   39458,  415701
REA/MVOE_/2003/08,  190085,  173019, 2922232,   39734,  418185
REA/MVOE_/2003/09,  190514,  173062, 2922963,   40159,  422010
REA/MVOE_/2003/10,  190727,  173178, 2924935,   40346,  423693
REA/MVOE_/2003/11,  191286,  173464, 2929797,   40832,  428067
REA/MVOE_/2003/12,  191392,  173536, 2931021,   40881,  428508
REA/MVOE_/2004/01,  191546,  173617, 2932248,   40974,  429345
REA/MVOE_/2004/02,  191635,  173677, 2933088,   41023,  429786
REA/MVOE_/2004/03,  191757,  173760, 2934250,   41091,  430398
REA/MVOE_/2004/04,  192063,  174058, 2937819,   41100,  430479
REA/MVOE_/2004/05,  192159,  174143, 2938874,   41115,  430614
REA/MVOE_/2004/06,  192267,  174248, 2940432,   41133,  430776
REA/MVOE_/2004/07,  192461,  174423, 2943089,   41170,  431109
REA/MVOE_/2004/08,  192519,  174473, 2943873,   41191,  431298
REA/MVOE_/2004/09,  192676,  174613, 2946503,   41250,  431829
REA/MVOE_/2004/10,  192944,  174826, 2950973,   41391,  433098
REA/MVOE_/2004/11,  193664,  175344, 2961478,   41845,  437184
REA/MVOE_/2004/12,  193974,  175609, 2966778,   42008,  438651
REA/MVOE_/2005/01,  194077,  175709, 2968745,   42022,  438777
REA/MVOE_/2005/02,  194218,  175798, 2970525,   42110,  439569
REA/MVOE_/2005/03,  194323,  175904, 2972942,   42110,  439569
REA/MVOE_/2005/04,  194450,  176031, 2976117,   42110,  439569
REA/MVOE_/2005/05,  194649,  176230, 2982056,   42110,  439569
REA/MVOE_/2005/06,  194937,  176518, 2991816,   42110,  439569
REA/MVOE_/2005/07,  195222,  176803, 3001630,   42110,  439569
REA/MVOE_/2005/08,  195429,  177010, 3008875,   42110,  439569
REA/MVOE_/2005/09,  195727,  177308, 3019423,   42110,  439569
REA/MVOE_/2005/10,  196802,  178383, 3056429,   42110,  439569
REA/MVOE_/2005/11,  197576,  179157, 3082528,   42110,  439569
REA/MVOE_/2005/12,  198306,  179887, 3101996,   42110,  439569
REA/MVOE_/2006/01,  198815,  180396, 3115034,   42110,  439569
REA/MVOE_/2006/02,  199986,  181567, 3144756,   42110,  439569
REA/MVOE_/2006/03,  202670,  184251, 3206115,   42110,  439569
REA/MVOE_/2006/04,  206491,  187978, 3316913,   42110,  439569
REA/MVOE_/2006/05,  210000,  191487, 3412611,   42110,  439569
REA/MVOE_/2006/06,  212334,  193820, 3469883,   42110,  439569
REA/MVOE_/2006/07,  214160,  195646, 3514559,   42110,  439569
REA/MVOE_/2006/08,  216303,  197789, 3565991,   42110,  439569
REA/MVOE_/2006/09,  218775,  200261, 3626366,   42110,  439569
REA/MVOE_/2006/10,  222751,  204237, 3725766,   42110,  439569
REA/MVOE_/2006/11,  225544,  207030, 3795591,   42110,  439569
REA/MVOE_/2006/12,  227040,  208526, 3832991,   42110,  439569
REA/MVOE_/2007/01,  227898,  209384, 3854441,   42110,  439569
REA/MVOE_/2007/02,  230154,  211640, 3910841,   42110,  439569
REA/MVOE_/2007/03,  231957,  213443, 3955967,   42110,  439569
REA/MVOE_/2007/04,  232063,  213549, 3958935,   42110,  439569
REA/MVOE_/2007/05,  232114,  213600, 3960363,   42110,  439569
REA/MVOE_/2007/06,  232174,  213660, 3962043,   42110,  439569
REA/MVOE_/2007/07,  232256,  213742, 3964339,   42110,  439569
REA/MVOE_/2007/08,  232356,  213842, 3967139,   42110,  439569
REA/MVOE_/2007/09,  232457,  213943, 3969967,   42110,  439569
REA/MVOE_/2007/10,  232535,  214021, 3972151,   42110,  439569
REA/MVOE_/2007/11,  232676,  214162, 3976099,   42110,  439569
REA/MVOE_/2007/12,  232730,  214216, 3977611,   42110,  439569
REA/MVOE_/2008/01,  232818,  214304, 3980075,   42110,  439569
REA/MVOE_/2008/02,  232859,  214345, 3981298,   42110,  439569
REA/MVOE_/2008/03,  232977,  214463, 3984953,   42110,  439569
REA/MVOE_/2008/04,  233094,  214580, 3988580,   42110,  439569
REA/MVOE_/2008/05,  233247,  214733, 3993323,   42110,  439569
REA/MVOE_/2008/06,  233386,  214872, 3997632,   42110,  439569
REA/MVOE_/2008/07,  235347,  216833, 4058423,   42110,  439569
REA/MVOE_/2008/08,  235594,  217080, 4066080,   42110,  439569
REA/MVOE_/2008/09,  235719,  217205, 4069955,   42110,  439569
REA/MVOE_/2008/10,  235804,  217290, 4072590,   42110,  439569
